$GPRMC,020212.302,V,,,,,0.00,0.00,250313,,,N*49,0.11,-0.10,-1.18
$GPRMC,020213.302,V,,,,,0.00,0.00,250313,,,N*48,0.18,-0.14,-1.25
$GPRMC,020214.082,V,,,,,0.00,0.00,250313,,,N*44,0.05,-0.16,-1.17
$GPRMC,020214.302,V,,,,,0.00,0.00,250313,,,N*4F,0.04,-0.22,-1.23
$GPRMC,020215.302,V,,,,,0.00,0.00,250313,,,N*4E,0.01,-0.08,-1.23
$GPRMC,020216.302,V,,,,,0.00,0.00,250313,,,N*4D,0.18,-0.20,-1.22
$GPRMC,020217.302,V,,,,,0.00,0.00,250313,,,N*4C,0.05,-0.11,-1.13
$GPRMC,020218.302,V,,,,,0.00,0.00,250313,,,N*43,0.15,-0.14,-1.22
$GPRMC,020219.302,V,,,,,0.00,0.00,250313,,,N*42,0.23,-0.07,-1.10
$GPRMC,020220.085,V,,,,,0.00,0.00,250313,,,N*44,0.16,-0.10,-1.09
$GPRMC,020220.305,V,,,,,0.00,0.00,250313,,,N*4F,0.15,-0.12,-1.14
$GPRMC,020221.305,V,,,,,0.00,0.00,250313,,,N*4E,0.10,-0.11,-1.16
$GPRMC,020222.305,V,,,,,0.00,0.00,250313,,,N*4D,0.16,-0.13,-1.10
$GPRMC,020223.305,V,,,,,0.00,0.00,250313,,,N*4C,0.10,-0.17,-1.15
$GPRMC,020224.305,V,,,,,0.00,0.00,250313,,,N*4B,0.08,-0.02,-1.20
$GPRMC,020225.305,V,,,,,0.00,0.00,250313,,,N*4A,0.09,-0.10,-1.17
$GPRMC,020226.085,V,,,,,0.00,0.00,250313,,,N*42,0.04,-0.14,-1.17
$GPRMC,020226.305,V,,,,,0.00,0.00,250313,,,N*49,0.13,-0.08,-1.09
$GPRMC,020227.305,V,,,,,0.00,0.00,250313,,,N*48,0.12,-0.16,-1.22
$GPRMC,020228.305,V,,,,,0.00,0.00,250313,,,N*47,0.15,-0.21,-1.18
$GPRMC,020229.305,V,,,,,0.00,0.00,250313,,,N*46,0.14,-0.18,-1.17
$GPRMC,020230.305,V,,,,,0.00,0.00,250313,,,N*4E,0.04,-0.12,-1.17
$GPRMC,020231.305,V,,,,,0.00,0.00,250313,,,N*4F,0.14,-0.13,-1.23
$GPRMC,020232.083,V,,,,,6.94,47.21,250313,,,N*7A,0.05,-0.22,-1.12
$GPRMC,020232.303,V,,,,,7.00,47.11,250313,,,N*7E,0.02,-0.17,-1.12
$GPRMC,020234.000,V,,,,,7.13,46.90,250313,,,N*72,0.07,-0.16,-1.12
$GPRMC,020235.000,A,3852.2200,N,07716.1451,W,7.24,46.72,250313,,,A*40,0.15,-0.23,-1.17
$GPRMC,020236.000,A,3852.2241,N,07716.1407,W,7.40,46.35,250313,,,A*44,0.10,-0.18,-1.14
$GPRMC,020237.000,A,3852.2276,N,07716.1358,W,7.56,45.97,250313,,,A*40,0.00,0.00,-1.17
$GPRMC,020238.000,A,3852.2320,N,07716.1289,W,7.93,45.38,250313,,,A*4C,0.04,-0.16,-1.18
$GPRMC,020238.218,A,3852.2350,N,07716.1248,W,8.25,44.80,250313,,,A*4D,0.08,-0.16,-1.14
$GPRMC,020240.000,A,3852.2394,N,07716.1118,W,8.85,44.98,250313,,,A*44,0.09,-0.20,-1.18
$GPRMC,020241.000,A,3852.2425,N,07716.1011,W,9.54,45.23,250313,,,A*4C,0.08,-0.14,-1.18
$GPRMC,020242.000,A,3852.2456,N,07716.0865,W,10.57,46.33,250313,,,A*78,0.04,-0.11,-1.16
$GPRMC,020243.000,A,3852.2527,N,07716.0708,W,13.84,39.77,250313,,,A*7F,0.12,-0.23,-1.14
$GPRMC,020244.000,A,3852.2570,N,07716.0572,W,15.23,41.54,250313,,,A*70,0.01,-0.13,-1.10
$GPRMC,020244.218,A,3852.2588,N,07716.0507,W,16.06,42.65,250313,,,A*7B,0.03,-0.11,-1.16
$GPRMC,020246.000,A,3852.2644,N,07716.0360,W,16.90,46.82,250313,,,A*74,0.15,-0.22,-1.25
$GPRMC,020247.000,A,3852.2675,N,07716.0245,W,17.96,50.07,250313,,,A*7C,0.10,-0.12,-1.20
$GPRMC,020248.000,A,3852.2709,N,07716.0128,W,19.28,52.73,250313,,,A*7B,0.08,-0.13,-1.17
$GPRMC,020249.000,A,3852.2747,N,07716.0053,W,19.87,53.26,250313,,,A*79,0.09,-0.09,-1.17
